Gene,Delta_EMD_mean,Delta_EMD_std,Delta_EMD_median,Global_score_weighted,Bursty_better_count,OT_better_count,Avg_difficulty
Sparc,0.6675518116405647,2.788634487373642,-0.03229756205289441,5.906986800893793,3,4,77.20557883327824
Lamb1,0.6727159204796107,1.9267835244528377,-0.0008291878568564941,5.08534283471942,3,4,29.106349247220482
Col4a2,0.1956387630826193,0.5491460284366536,0.0006578947368421108,1.3117661018994025,4,3,7.869600953463411
Klf4,0.19893678465356945,0.7574861376799227,-0.0067541517869190715,1.234459626860983,3,4,3.2187556092115295
Klf2,0.10807575846760378,0.3482685359329968,-0.0027522116872297567,0.8085667585113158,3,4,3.6820514281207974
Sox2,-0.05837882903362599,0.3857073668965948,0.07448378248022958,0.33804356946428876,4,3,9.485365151767581
Esrrb,0.00584103814047193,0.15625649719777363,0.0,0.13699408725477913,3,3,3.226512417091359
Krt8,0.024563205098712435,0.07208100348751106,0.006301830921804363,0.1315271364815614,5,2,0.8474954222844424
Gata6,0.018150243644250497,0.08234074755576502,0.0016991081812074774,0.11275119904556996,5,2,0.7915117758953303
Dab2,-0.004304215087208986,0.15840022719147942,0.0001477541371158399,0.096999922995333,4,3,1.4019210266657869
Sox17,0.020332522442416855,0.04688878030435529,0.0,0.07525258232811108,3,3,0.3247547861708568
Fgf4,0.00749802046116649,0.04615173188384019,0.0,0.06699701007739897,2,1,1.4722375987339127
Gata4,0.007406693939603795,0.019041463692960912,0.0,0.03214640321891732,2,2,0.1278096704466375
Pdgfra,-0.006156638538740699,0.026275801522945317,-5.759281940243e-16,0.012428711589183808,2,4,0.3969936326968969
Pou3f1,0.0010875363241174914,0.026868433142578526,0.0028636884306987437,0.0028241414356113713,6,1,0.25335894974610623
Sox9,0.0005644756574507546,0.0026965981783668835,0.00021477663230242252,0.001615655386966398,4,2,0.05263657839292728
Fgf5,-0.0006143075347380021,0.002357336854766926,-0.0011695906432748465,0.0008086638141849738,2,5,0.01985418639382469
Ascl1,0.00019269554057502316,0.000609169032294373,0.0,0.0006206366214959487,2,1,0.005917268104425136
Wnt8a,-9.697035621007798e-05,0.0018565488076668416,0.0,0.00025613162672325347,3,3,0.034691857522622015
Dppa3,-0.0015359943786535418,0.0035601944533060524,0.0,-0.00012016918159049124,1,3,0.21151027366488792
Cer1,-0.00038823185222696825,0.0011188299635778518,-0.00014318442153493476,-0.00015889826854491442,3,4,0.014687712081730852
Cd24a,-0.007914378166494889,0.26816870997332753,-0.0018469267139480522,-0.011554257800647602,3,4,1.7291793900977057
Nes,-0.009034711278642402,0.011694300222822071,-0.0023496820791406997,-0.014103843090477255,1,6,0.1850365723562634
Sox1,-0.019492796633156666,0.04704181418846754,-0.0005171394799054355,-0.01724810045487638,3,4,0.326040609526375
Hoxa1,-0.03709958763479019,0.04632446007516869,-0.02172032314463271,-0.024181445589070778,3,4,0.7650049106047158
Pax6,-0.020549137590530685,0.047571266607616236,-0.0016252955082742306,-0.027505444835309423,2,5,0.88796467611194
Zic2,-0.04047435618337396,0.05195583723836786,-0.03590085609212264,-0.03865777637642325,1,6,0.2771577141758515
Meis1,-0.03684941190780945,0.06447963975066819,-0.00014775413711584032,-0.03924523546906311,3,4,0.3618349701747056
Zic3,-0.16369033684668016,0.3159556752968813,-0.03535258003847759,-0.050284622167258826,2,5,0.7451454859139707
Sox11,-0.06129062848228256,0.12117119819530026,-0.01223669499488969,-0.06337046719206609,2,5,0.5702859767409632
Cdh2,-0.09651352916065721,0.24585442722252818,-6.938893903907228e-18,-0.0638356148380087,3,4,1.0822862000370939
Nr0b1,-0.08113485743750457,0.20142521980531114,0.0,-0.06463360959765062,1,2,0.9320159258415994
Hoxb2,-0.06972194256818212,0.10597645568974833,-0.020669688314095172,-0.06773801608423453,2,4,0.6285226858580304
Fst,-0.020588868118142718,0.03517482713393242,0.0007309941520467905,-0.0682058902042437,4,3,2.213334921554566
Dnmt3a,-0.17654880385790772,0.48404850025487905,-0.05103237921253134,-0.0824685683201088,2,5,2.7238443089463367
Dppa4,-0.09080473095546636,0.0881325607946262,-0.06708039428467585,-0.08327777584913197,1,6,0.40376667624312795
Pou5f1,-0.217543965786988,0.3042177662738195,-0.02077624646168913,-0.14640417955208673,2,5,1.889722312808617
Dnmt3b,-0.37477691992070045,0.6467574454527505,-0.08490082110147573,-0.4423155998780074,1,6,1.7215144485101275
Dppa2,-0.5224241693859809,0.48228275525657543,-0.718216110987845,-0.6543058783849266,2,5,2.7966790620861395
Jarid2,-1.2004288693189935,2.231177903896404,-0.4484063619893639,-1.5438856918546642,1,6,5.417833870514708
Zfp42,-1.7942711501076205,2.8859051514167278,-0.055585584692083675,-1.9252910087076434,2,5,12.22934849347949
