Gene,Alpha,Beta,EMD_Bursty,EMD_OT,Delta_EMD,OT_difficulty
Pou5f1,0.5,0.5,0.8145856054214548,0.611749867961666,-0.20283573745978878,4.76036820623519
Sox2,0.5,0.5,1.0488207433929286,0.275417378301812,-0.7734033650911166,0.3967521431141109
Esrrb,0.5,0.5,0.12055613858194231,0.14568500456132372,0.02512886597938141,1.603719279963278
Dppa3,0.5,0.5,0.017865043109657017,0.017721858688122025,-0.000143184421534992,0.11288101529643829
Zfp42,0.5,0.5,0.6222932142587673,0.7161291677812747,0.0938359535225074,20.495577307181765
Jarid2,0.5,0.5,2.992780761501179,1.6497378953433148,-1.3430428661578644,4.022677931197041
Klf2,0.5,0.5,0.10173767585104623,0.08021971520875674,-0.021517960642289488,0.7057079409976798
Klf4,0.5,0.5,0.12036922718137573,0.13975271107269963,0.019383483891323897,1.3402185914374678
Nr0b1,0.5,0.5,0.08128073749408353,0.08128073749408353,0.0,0.17869415807560143
Fgf4,0.5,0.5,0.03814021441652757,0.03814021441652757,0.0,1.0859106529209623
Zic2,0.5,0.5,0.4097573752837897,0.2999846526877478,-0.10977272259604187,0.1765355366159266
Zic3,0.5,0.5,0.2305127717074408,0.11455225288255019,-0.11596051882489061,0.41280533948664483
Dppa2,0.5,0.5,1.695001749079145,0.9322651946965077,-0.7627365543826372,2.780478122247444
Dppa4,0.5,0.5,0.6651306493542032,0.4153389955484169,-0.24979165380578627,0.30756634039227354
Dnmt3a,0.5,0.5,4.435319224094878,3.20434260345295,-1.2309766206419286,1.8592305879142
Dnmt3b,0.5,0.5,2.5749446124933177,1.0156684054571132,-1.5592762070362045,1.0827223442133045
Fgf5,0.5,0.5,0.01515182693033171,0.011227116214306734,-0.003924710716024975,0.002568015184785848
Pou3f1,0.5,0.5,0.0484584953803727,0.051322183811071447,0.0028636884306987437,0.7509025270757922
Cer1,0.5,0.5,0.008734249713631145,0.00859106529209621,-0.00014318442153493476,0.03610108303249057
Wnt8a,0.5,0.5,0.051224869847932716,0.04724142779732604,-0.003983442050606675,0.04693140794223455
Cd24a,0.5,0.5,0.3068360701277847,0.36222100472594226,0.055384934598157576,1.7521058965101923
Sox1,0.5,0.5,0.10561008567058294,0.11276030413399973,0.007150218463416791,1.1693401317503282
Hoxb2,0.5,0.5,0.2338278768922617,0.20825488198859887,-0.025572994903662827,1.8091977123574636
Meis1,0.5,0.5,0.032275226179942385,0.030940695927732107,-0.0013345302522102774,0.36743707122209757
Nes,0.5,0.5,0.04132713953536219,0.03897745745622149,-0.0023496820791406997,0.204250251218872
Ascl1,0.5,0.5,0.001288659793814433,0.0008591065292096219,-0.0004295532646048111,0.003610108303248684
Pax6,0.5,0.5,0.03258731677538393,0.04791362292596929,0.015326306150585361,0.048246430210774884
Sox11,0.5,0.5,0.09990200012346373,0.08766530512857404,-0.01223669499488969,1.453422159365788
Hoxa1,0.5,0.5,0.09602101638647038,0.06914478602931551,-0.026876230357154876,0.43957720793476784
Sox9,0.5,0.5,0.003625480996769305,0.0038402576290717276,0.00021477663230242252,0.003610108303248684
Cdh2,0.5,0.5,0.13118479535773783,0.20778846087892908,0.07660366552119124,0.14843624002877934
Pdgfra,0.5,0.5,0.10820112352614215,0.10389830305025577,-0.004302820475886385,0.062066569900875466
Fst,0.5,0.5,0.002720504009163804,0.003651202749140896,0.000930698739977092,0.006525487860856169
Sparc,0.5,0.5,0.14222928713020608,0.08371701613954308,-0.058512270990663,1.9539245971192687
Col4a2,0.5,0.5,0.023768613974799502,0.02747126022868365,0.0037026462538841468,0.27902043246862823
Gata4,0.5,0.5,0.008982035928143669,0.008982035928143669,0.0,0.0
Gata6,0.5,0.5,1.1054120281773043,1.030438693060598,-0.07497333511670634,0.31276440011412715
Sox17,0.5,0.5,0.07045187974566304,0.06980754984875574,-0.0006443298969072975,0.025791804681973864
Krt8,0.5,0.5,0.16688744504118874,0.1736188276368224,0.0067313825956336615,0.5681888669718294
Lamb1,0.5,0.5,0.18273933233189793,0.1810927114842459,-0.0016466208476520194,1.572555733372995
Dab2,0.5,0.5,0.02290221961575121,0.02169243986254292,-0.0012097797532082885,0.2033818402868172
