Gene,Alpha_per_gene,Beta_per_gene,EMD_Bursty,EMD_OT,Delta_EMD
Pou5f1,0.51249737,0.48750263,0.003621849973838544,0.0019230769230769236,-0.0016987730507616204
Sox2,0.48750263,0.51249737,0.51800251983933,0.05623100303951353,-0.46177151679981643
Esrrb,0.4875028,0.5124972,0.0,0.00043059777102330305,0.00043059777102330305
Dppa3,0.5,0.5,0.0,0.0,0.0
Zfp42,0.5124974,0.48750257,0.012281277642765945,0.006003039513677807,-0.006278238129088138
Jarid2,0.51249737,0.48750263,0.10208551624865426,0.04380211986594957,-0.058283396382704696
Klf2,0.48750263,0.51249737,0.0008214504492756479,0.0013034837502922613,0.0004820333010166134
Klf4,0.51249737,0.48750263,0.024091793023362004,0.05483204738523876,0.030740254361876756
Nr0b1,0.5,0.5,0.0,0.0,0.0
Fgf4,0.5,0.5,0.0,0.0,0.0
Zic2,0.48750263,0.51249737,0.016702388531224462,0.024269347673602927,0.007566959142378465
Zic3,0.51249737,0.48750263,1.8043060418032265e-05,9.157509157509158e-05,7.353203115705931e-05
Dppa2,0.51249737,0.48750263,0.0229516854677873,0.0175473462707505,-0.005404339197036801
Dppa4,0.4875027,0.5124973,0.0031081314143522236,0.0018217598004832056,-0.001286371613869018
Dnmt3a,0.51249737,0.48750263,0.053030493693957285,0.02945795339412354,-0.023572540299833744
Dnmt3b,0.51249737,0.48750263,0.1055557816745223,0.08230847167017359,-0.02324731000434871
Fgf5,0.48750263,0.51249737,0.0027602279582439305,0.004670329670329669,0.0019101017120857389
Pou3f1,0.48750263,0.51249737,0.0004850985483332723,0.0027414075286415727,0.0022563089803083005
Cer1,0.48750263,0.51249737,0.0007825322584999265,0.0002747252747252747,-0.0005078069837746518
Wnt8a,0.5124962,0.48750383,0.0,0.0,0.0
Cd24a,0.48750263,0.51249737,1.2543142154306266,0.4656418050035054,-0.7886724104271212
Sox1,0.51249737,0.48750263,0.04221053074256733,0.04447626841243853,0.002265737669871197
Hoxb2,0.51249737,0.48750263,0.07843420418761833,0.03343854726833444,-0.044995656919283894
Meis1,0.51249737,0.48750263,0.058833009088920085,0.026385316810848672,-0.03244769227807141
Nes,0.51249737,0.48750263,0.03716566935714923,0.028205128205128147,-0.008960541152021086
Ascl1,0.5,0.5,0.0005591925804691774,0.0001889954017613608,-0.0003701971787078166
Pax6,0.51249737,0.48750263,0.12428020997254312,0.051734081521315436,-0.07254612845122768
Sox11,0.51249737,0.48750263,0.9586502054757088,0.052953783804847505,-0.9056964216708613
Hoxa1,0.51249737,0.48750263,0.04292067666088101,0.0340347595666744,-0.008885917094206608
Sox9,0.48750293,0.51249707,0.0010187242622077435,0.001825656612890656,0.0008069323506829124
Cdh2,0.51249737,0.48750263,0.33424055773848577,0.0945015976930868,-0.23973896004539896
Pdgfra,0.51249737,0.48750263,0.07480052839843035,0.28039903359052215,0.2055985051920918
Fst,0.51249737,0.48750263,0.10230352577911786,0.6209025017535641,0.5185989759744463
Sparc,0.5124974,0.48750257,1.388623589191383,3.7995927831034093,2.4109691939120266
Col4a2,0.51249737,0.48750263,0.8817100682027401,1.841820590756756,0.9601105225540159
Gata4,0.51249737,0.48750263,0.010702543348457931,0.058697685293429835,0.047995141944971904
Gata6,0.51249737,0.48750263,0.24316715058831748,0.5605252903125229,0.31735813972420535
Sox17,0.51249737,0.48750263,0.036434424257212314,0.10342140129374144,0.06698697703652913
Krt8,0.51249737,0.48750263,0.18670701044994345,0.2795222507988461,0.09281524034890262
Lamb1,0.51249737,0.48750263,1.8561339202533413,5.755870547891971,3.8997366276386294
Dab2,0.51249737,0.48750263,0.284105761698643,1.0142740238484897,0.7301682621498468
