Gene,Delta_EMD_mean,Delta_EMD_std,Delta_EMD_median,Global_score_weighted,Bursty_better_count,OT_better_count,Avg_difficulty,Alpha_mean_avg,Alpha_std_avg
Sparc,15.594692281791874,51.71012942758963,-0.8306410605873343,119.74652868555977,2,5,77.20557883327824,0.81345236,0.09689009
Lamb1,8.430525516563666,20.962735487561254,-0.010929323801539163,57.02547936133828,2,5,29.106349247220482,0.62063414,0.12264277
Col4a2,2.0321363005710418,5.8066603117914894,0.0019062922761742401,13.872863861573139,4,3,7.869600953463411,0.4110289,0.044267137
Fst,0.35784259964411824,0.9954620160917607,-0.0001837890937097398,2.4339005258483706,3,4,2.213334921554566,0.53507906,0.25502008
Jarid2,1.0488599923099928,2.0983749368304805,0.21693447615775852,1.8049295764031592,4,3,5.417833870514708,0.72110236,0.2503644
Dppa2,0.1861481276822439,0.9431649332801553,-0.15839827550679425,0.7647075688675118,3,4,2.7966790620861395,0.4204786,0.28981152
Klf4,0.055022474021159964,0.42438695873523874,0.002649662317255705,0.630528472877538,4,3,3.2187556092115295,0.55046487,0.374034
Gata6,0.05730245385672528,0.6814939216914493,-0.010181607397165638,0.5297808326182157,2,5,0.7915117758953303,0.43591467,0.26192528
Sox17,-0.00338835793751689,0.2489003763957464,0.0,0.21914629272122488,3,3,0.3247547861708568,0.3189649,0.19311349
Hoxa1,-0.03905837074652229,0.21719871584374822,-0.040257963816813375,0.18606719609345318,2,5,0.7650049106047158,0.52736396,0.29926187
Nr0b1,0.004869300573461142,0.16505894551470554,0.0,0.16351082961128352,3,2,0.9320159258415994,0.3164212,0.2519655
Krt8,-0.0668321758674526,0.22160217673426447,-0.01576371649829872,0.15182736547281786,2,5,0.8474954222844424,0.6183649,0.2810339
Gata4,-0.011902416219937595,0.11488604592113999,0.0,0.07397007705566044,2,3,0.1278096704466375,0.46798387,0.18997277
Dppa3,-0.006274615788286556,0.026630901037867912,0.0,0.009615808114905262,3,3,0.21151027366488792,0.058270343,0.08931379
Esrrb,0.019462369611183025,0.12108712379579806,-0.00029182802472077496,0.006683936325999472,3,4,3.226512417091359,0.29447585,0.22915553
Cer1,-0.002073116533046591,0.004819934563566042,-0.0019380693850294829,-0.0006993367202984158,3,4,0.014687712081730852,0.15510522,0.03266104
Zic3,-0.23658163360026316,0.6504513927807393,0.005799224943676559,-0.0023557111429584592,4,3,0.7451454859139707,0.5211559,0.2931133
Ascl1,-0.0025448118564897195,0.009364734724352765,0.0,-0.01168102492600533,2,1,0.005917268104425136,0.36280927,0.12884943
Fgf5,-0.008798987552391146,0.010062781188585944,-0.0053379332296719754,-0.012350361636745603,2,5,0.01985418639382469,0.07287294,0.13315268
Sox9,-0.003492849943073487,0.022087695191757167,0.0010022877929956398,-0.013456018868791721,4,2,0.05263657839292728,0.24505769,0.18407212
Wnt8a,-0.00923340671120283,0.01896834731020262,-0.00048582687368539223,-0.018862567593147632,3,4,0.034691857522622015,0.13925962,0.15487538
Nes,-0.012850348809812343,0.02140390534065429,-3.3554277221785334e-05,-0.023634734393684513,3,4,0.1850365723562634,0.22763611,0.27399454
Pou3f1,-0.04760342705700267,0.07493147624681419,-0.02181985885321972,-0.027113042091871254,1,6,0.25335894974610623,0.075656295,0.12944528
Dppa4,-0.057578663311461255,0.09441544827484608,-0.051101945302295726,-0.04069762704392127,3,4,0.40376667624312795,0.42208225,0.35820433
Hoxb2,0.011181705483275628,0.28188921319548943,0.00903628740261958,-0.06385176622713357,5,2,0.6285226858580304,0.33703142,0.26738158
Fgf4,-0.015832130090421902,0.048501406964213706,0.0,-0.07145056462423327,2,3,1.4722375987339127,0.4555319,0.24936382
Sox1,-0.06797093783752564,0.12452956674037734,-0.006095443743088423,-0.08950889077748125,2,5,0.326040609526375,0.6523485,0.3216853
Zic2,-0.005921653152942978,0.14685908835651984,0.02242512282533815,-0.10551995648286497,5,2,0.2771577141758515,0.3792316,0.3716839
Sox11,-0.1004945916577777,0.14659636032151305,-0.09683681463219174,-0.1177912411044637,2,5,0.5702859767409632,0.4848712,0.2259307
Meis1,-0.0724409520290029,0.14507207649257373,-0.020328510519845584,-0.14445997658785842,1,6,0.3618349701747056,0.503263,0.213524
Dnmt3a,-0.260126828938749,0.5736238842587998,-0.14113378120427492,-0.18592688694052184,2,5,2.7238443089463367,0.422978,0.3690717
