Gene,Alpha_mean,Alpha_std,Beta_mean,Beta_std,EMD_Bursty,EMD_OT,Delta_EMD,OT_difficulty
Pou5f1,0.45407596,0.43694723,0.54592407,0.43694723,0.08610908842768587,0.06220246360137993,-0.02390662482630594,0.5286120285736201
Sox2,0.74233466,0.39156866,0.25766534,0.39156866,0.8698154346064949,0.4434994908821718,-0.42631594372432313,0.47023580920192265
Esrrb,0.08192966,0.15137978,0.9180703,0.15137978,0.010322447501544674,0.015342960288808598,0.005020512787263924,0.11913357400721664
Dppa3,0.00033489423,0.0015896364,0.9996651,0.0015896364,5.504333645574169e-15,0.0009025270758122521,0.0009025270758067477,0.0036101083032488747
Zfp42,0.9999336,0.00048230067,6.6399574e-05,0.00048230067,0.15094738828702228,0.04323203871940311,-0.10771534956761918,0.23733005607189261
Jarid2,0.9999757,0.0001903084,2.4318695e-05,0.0001903084,0.19335150276829954,0.4634352560796673,0.27008375331136775,0.6078347031261888
Klf2,0.00018153492,0.0011352152,0.99981844,0.0011352152,0.06152647039774356,0.021431712090556828,-0.04009475830718673,0.06536600353329548
Klf4,0.5397944,0.43744057,0.4602056,0.43744057,0.16361215972179285,0.06990700334563064,-0.09370515637616221,0.097242491742838
Nr0b1,0.6019788,0.3209837,0.39802122,0.3209837,0.0,0.0,0.0,0.0
Fgf4,0.5743952,0.25906685,0.42560482,0.25906685,0.0,0.0,0.0,0.0
Zic2,0.18938471,0.35172358,0.8106153,0.35172358,0.36670636706409887,0.05880972216712225,-0.3078966448969766,0.8044243029418537
Zic3,0.18289232,0.31474078,0.8171077,0.31474078,0.22131164333248532,0.19384165774057263,-0.027469985591912688,0.07952991781242713
Dppa2,0.56972307,0.45155784,0.43027693,0.45155784,0.6280529025218501,0.1804326840427893,-0.44762021847906075,0.6806820800368633
Dppa4,0.2230252,0.37804803,0.7769748,0.37804803,0.03456170328126569,0.042522083812697245,0.007960380531431555,0.0984868269452326
Dnmt3a,0.57576334,0.44849247,0.42423666,0.44849247,0.14558468213248593,0.07379315930759983,-0.0717915228248861,0.340947845456637
Dnmt3b,0.8817169,0.28948468,0.11828309,0.28948468,0.18853744318946788,0.0986275307123694,-0.08990991247709848,1.4464859052154304
Fgf5,0.00026263116,0.0012993613,0.9997374,0.0012993613,0.021195536473622274,0.02163502862961343,0.00043949215599115715,0.028757969122052595
Pou3f1,0.021060916,0.07780198,0.97893906,0.07780198,0.026535778819503534,0.07301625871120411,0.04648047989170058,0.5654812197557324
Cer1,0.055543154,0.10620382,0.9444568,0.10620382,0.02064463279762089,0.023593809920524622,0.002949177122903733,0.01496274675474328
Wnt8a,0.023379615,0.068071716,0.9766204,0.068071716,0.007044820235981372,0.00451263537906135,-0.0025321848569200217,0.04693140794223626
Cd24a,0.22387536,0.36542007,0.77612466,0.36542007,3.483501093124777,0.7293534534057765,-2.7541476397190006,3.468208003686919
Sox1,0.8319638,0.31963938,0.16803622,0.31963938,0.039478412125648274,0.1109380992052473,0.07145968707959903,0.3083646977494404
Hoxb2,0.75490326,0.36818776,0.24509674,0.36818776,0.059481834965107644,0.09413142513322988,0.03464959016812223,0.09324832936477627
Meis1,0.6091127,0.41277435,0.39088732,0.41277435,0.09540208173261598,0.13825772602848435,0.04285564429586837,0.9281818880098316
Nes,0.30482087,0.38934928,0.6951791,0.38934928,0.07682488813990619,0.05123494135226949,-0.0255899467876367,0.273661571549274
Ascl1,0.0011385079,0.0048465696,0.9988615,0.0048465696,0.034595947736450645,0.009702166064981869,-0.024893781671468777,0.023212228281742065
Pax6,0.5328933,0.42274585,0.4671067,0.42274585,1.5395492944897082,1.4398802911889745,-0.0996690033007337,0.4935555726246252
Sox11,0.5419773,0.43533003,0.4580227,0.43533003,0.1308076944374539,0.1819542521257304,0.0511465576882765,0.8915431292726014
Hoxa1,0.6778293,0.38936424,0.32217067,0.38936424,0.9389490318625539,0.5420402401449391,-0.39690879171761473,0.15124049466164705
Sox9,0.53831184,0.40462115,0.46168816,0.40462115,0.004749301794681342,0.008122743682310434,0.003373441887629092,0.031722866579614394
Cdh2,5.6934918e-05,0.0004085018,0.9999431,0.0004085018,1.5517823416967107,0.09551083693683061,-1.45627150475988,4.5442507105000365
Pdgfra,0.7908268,0.35626844,0.2091732,0.35626844,0.3914767225473797,0.19725423493473884,-0.19422248761264085,0.2484983485674782
Fst,0.5137194,0.41562435,0.48628062,0.41562435,0.08254367487061752,0.09450665159148885,0.011962976720871335,1.2423073968814813
Sparc,0.99994266,0.0004369677,5.733967e-05,0.0004369677,17.54869312226848,3.0629223363879,-14.485770785880582,39.36288501420999
Col4a2,5.1970528e-05,0.00037216747,0.999948,0.00037216747,0.42540992427300445,0.5330546409066246,0.10764471663362013,3.8107381519317935
Gata4,0.93485993,0.0927911,0.06514007,0.0927911,0.20921636620124398,0.07480313008291367,-0.1344132361183303,0.18297872340425528
Gata6,0.7695527,0.3672211,0.23044729,0.3672211,0.24617785929299887,0.14812353711270557,-0.09805432218029331,0.07029725785390575
Sox17,0.5536807,0.43178448,0.44631928,0.43178448,0.5017809502460046,0.17337115351555768,-0.3284097967304469,0.4526307704124739
Krt8,0.82306,0.3478387,0.17694002,0.3478387,0.11562932922491952,0.0998656127266208,-0.01576371649829872,0.5148628926952901
Lamb1,0.54046464,0.45744163,0.45953536,0.45744163,0.7694581259748003,0.8605794025468859,0.09112127657208557,3.232168369306401
Dab2,0.84263736,0.32736707,0.15736264,0.32736707,2.448944927572423,0.988677087052531,-1.460267840519892,1.37492894999616
